"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"03/01/2024 11:15:00 - 03/01/2024 11:30:00","Germany (DE)","63823.82","64437.38"
"03/01/2024 11:30:00 - 03/01/2024 11:45:00","Germany (DE)","63915.22","64605.82"
"03/01/2024 11:45:00 - 03/01/2024 12:00:00","Germany (DE)","63854.05","64847.79"
"03/01/2024 12:00:00 - 03/01/2024 12:15:00","Germany (DE)","63867.32","64881.97"
"03/01/2024 12:15:00 - 03/01/2024 12:30:00","Germany (DE)","63739.16","64790.07"
"03/01/2024 12:30:00 - 03/01/2024 12:45:00","Germany (DE)","63646.76","64197.44"
"03/01/2024 12:45:00 - 03/01/2024 13:00:00","Germany (DE)","63523.11","63973.87"
"03/01/2024 13:00:00 - 03/01/2024 13:15:00","Germany (DE)","63287.53","63697.33"
"03/01/2024 13:15:00 - 03/01/2024 13:30:00","Germany (DE)","63073.42","63175.88"
"03/01/2024 13:30:00 - 03/01/2024 13:45:00","Germany (DE)","62617.29","62982.15"
"03/01/2024 13:45:00 - 03/01/2024 14:00:00","Germany (DE)","62132.72","62501.75"
"03/01/2024 14:00:00 - 03/01/2024 14:15:00","Germany (DE)","61506.17","62288.68"
"03/01/2024 14:15:00 - 03/01/2024 14:30:00","Germany (DE)","61455.28","61910.01"
"03/01/2024 14:30:00 - 03/01/2024 14:45:00","Germany (DE)","61378.02","61854.75"
"03/01/2024 14:45:00 - 03/01/2024 15:00:00","Germany (DE)","60924.93","61696.70"
"03/01/2024 15:00:00 - 03/01/2024 15:15:00","Germany (DE)","61207.27","61919.90"
"03/01/2024 15:15:00 - 03/01/2024 15:30:00","Germany (DE)","61087.87","61490.80"
"03/01/2024 15:30:00 - 03/01/2024 15:45:00","Germany (DE)","60967.83","61326.97"
"03/01/2024 15:45:00 - 03/01/2024 16:00:00","Germany (DE)","60792.32","61223.01"
"03/01/2024 16:00:00 - 03/01/2024 16:15:00","Germany (DE)","60975.94","61599.86"
"03/01/2024 16:15:00 - 03/01/2024 16:30:00","Germany (DE)","61141.22","61480.71"
"03/01/2024 16:30:00 - 03/01/2024 16:45:00","Germany (DE)","61618.40","62173.38"
"03/01/2024 16:45:00 - 03/01/2024 17:00:00","Germany (DE)","61743.51","63167.56"
"03/01/2024 17:00:00 - 03/01/2024 17:15:00","Germany (DE)","62669.65","64157.03"
"03/01/2024 17:15:00 - 03/01/2024 17:30:00","Germany (DE)","63501.83","64363.98"
"03/01/2024 17:30:00 - 03/01/2024 17:45:00","Germany (DE)","63333.48","64696.38"
"03/01/2024 17:45:00 - 03/01/2024 18:00:00","Germany (DE)","64023.94","65019.05"
"03/01/2024 18:00:00 - 03/01/2024 18:15:00","Germany (DE)","64172.37","64853.55"
"03/01/2024 18:15:00 - 03/01/2024 18:30:00","Germany (DE)","64106.99","64656.61"
"03/01/2024 18:30:00 - 03/01/2024 18:45:00","Germany (DE)","64011.15","64498.38"
"03/01/2024 18:45:00 - 03/01/2024 19:00:00","Germany (DE)","63608.70","64336.57"
"03/01/2024 19:00:00 - 03/01/2024 19:15:00","Germany (DE)","63361.99","63707.12"
"03/01/2024 19:15:00 - 03/01/2024 19:30:00","Germany (DE)","62768.05","62670.88"
"03/01/2024 19:30:00 - 03/01/2024 19:45:00","Germany (DE)","62281.68","62088.30"
"03/01/2024 19:45:00 - 03/01/2024 20:00:00","Germany (DE)","61991.12","61423.38"
"03/01/2024 20:00:00 - 03/01/2024 20:15:00","Germany (DE)","61027.61","60129.36"
"03/01/2024 20:15:00 - 03/01/2024 20:30:00","Germany (DE)","59845.65","59042.58"
"03/01/2024 20:30:00 - 03/01/2024 20:45:00","Germany (DE)","59058.56","58056.86"
"03/01/2024 20:45:00 - 03/01/2024 21:00:00","Germany (DE)","57998.18","57437.37"
"03/01/2024 21:00:00 - 03/01/2024 21:15:00","Germany (DE)","57000.08","56652.84"
"03/01/2024 21:15:00 - 03/01/2024 21:30:00","Germany (DE)","56286.55","56098.82"
"03/01/2024 21:30:00 - 03/01/2024 21:45:00","Germany (DE)","55455.92","55456.16"
"03/01/2024 21:45:00 - 03/01/2024 22:00:00","Germany (DE)","54701.19","54648.39"
"03/01/2024 22:00:00 - 03/01/2024 22:15:00","Germany (DE)","53840.22","54047.14"
"03/01/2024 22:15:00 - 03/01/2024 22:30:00","Germany (DE)","53050.97","53374.48"
"03/01/2024 22:30:00 - 03/01/2024 22:45:00","Germany (DE)","52254.77","52161.91"
"03/01/2024 22:45:00 - 03/01/2024 23:00:00","Germany (DE)","51181.68","51356.41"
"03/01/2024 23:00:00 - 03/01/2024 23:15:00","Germany (DE)","49841.19","50288.40"
"03/01/2024 23:15:00 - 03/01/2024 23:30:00","Germany (DE)","49005.43","49391.85"
"03/01/2024 23:30:00 - 03/01/2024 23:45:00","Germany (DE)","48485.35","48577.32"
